=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.01.23 19:10:48 =~=~=~=~=~=~=~=~=~=~=~=
vSense, Hall State
0, 0
0, 0
768, 0
3673, 0
4079, 0
4081, 0
4071, 0
3908, 0
3554, 0
3532, 0
2904, 0
2859, 0
2859, 0
2771, 2
3132, 2
3755, 2
4068, 2
4083, 2
4070, 2
3893, 2
3877, 2
3785, 2
3712, 2
3648, 2
3592, 2
3541, 2
3492, 2
3438, 2
3388, 2
3348, 2
3302, 2
3260, 2
3221, 2
3187, 2
3154, 2
3114, 2
3085, 2
3055, 2
3030, 2
3004, 2
2988, 2
2976, 2
2961, 2
2953, 2
2946, 2
2952, 2
2954, 2
2637, 1
3414, 1
4088, 0
4052, 1
2942, 1
4088, 0
4046, 1
4087, 1
4059, 1
2008, 1
4087, 0
4046, 1
2004, 1
4088, 0
2436, 0
2428, 0
2405, 0
1999, 0
2370, 0
2384, 0
2308, 0
1964, 0
2280, 0
2266, 0
2244, 0
3896, 0
2256, 0
2205, 0
2190, 0
3686, 0
2190, 0
2188, 0
2193, 0
2196, 0
2200, 0
2206, 0
2119, 0
2216, 0
3756, 0
2932, 5
2904, 5
2932, 5
2937, 5
2933, 5
2929, 5
2926, 5
2933, 5
2908, 5
2898, 5
2886, 5
2872, 5
2864, 5
2873, 5
2729, 5
1906, 5
1780, 5
1968, 5
2058, 5
2030, 5
1992, 5
2004, 5
3052, 5
3193, 5
2996, 5
2872, 5
2874, 5
2910, 5
2910, 5
2878, 5
2846, 5
2823, 5
2812, 5
2797, 5
2813, 4
2880, 4
2890, 4
2526, 4
2854, 4
2830, 4
2816, 4
2792, 4
2748, 4
2710, 4
2668, 4
2624, 4
2574, 4
2532, 4
2488, 4
2450, 4
2424, 4
2399, 4
2376, 4
2361, 4
2357, 4
2362, 4
2380, 4
1938, 3
2380, 3
2666, 3
2784, 3
2384, 3
2561, 3
2622, 3
2616, 3
2595, 3
2562, 3
2518, 3
2481, 3
2445, 3
2414, 3
2393, 3
2378, 3
2380, 3
2389, 3
2304, 2
2637, 2
2873, 2
2977, 2
2997, 2
2986, 2
2954, 2
2902, 2
2861, 2
2836, 2
2808, 2
2799, 2
2797, 2
2808, 2
2831, 2
1738, 1
3048, 1
3207, 1
3192, 1
3082, 1
2980, 1
2841, 1
2700, 1
2566, 1
2451, 1
2344, 1
1878, 1
2177, 1
1831, 1
2082, 1
1837, 1
2048, 1
1883, 1
1919, 1
1957, 1
1999, 1
2113, 0
1996, 0
2036, 0
1992, 0
1950, 0
1939, 0
1940, 0
1953, 0
4082, 0
3616, 0
2958, 5
3022, 5
3034, 5
3014, 5
2984, 5
2948, 5
2913, 5
