vSense, Hall State
,
0,0
,
0,0
,
888,0
,
3496,0
,
4072,0
,
4080,0
,
4078,0
,
4072,0
,
3970,0
,
3660,0
,
3546,0
,
2887,2
,
3601,2
,
4087,2
,
4090,2
,
4085,2
,
4088,2
,
4087,2
,
4087,2
,
4087,2
,
4087,2
,
4087,2
,
4088,2
,
4085,2
,
4071,2
,
3882,2
,
3881,2
,
3818,2
,
3754,2
,
3701,2
,
3655,2
,
3611,2
,
3561,2
,
3518,2
,
3481,2
,
3448,2
,
3428,2
,
3408,2
,
2506,1
,
4089,1
,
4089,1
,
4090,1
,
4088,1
,
4089,1
,
4088,1
,
4089,1
,
4088,1
,
4088,1
,
4083,1
,
4011,1
,
3504,1
,
3363,1
,
3328,1
,
3266,1
,
3170,1
,
3085,1
,
3019,1
,
2967,1
,
2930,1
,
2898,1
,
2872,1
,
2855,1
,
2832,1
,
2820,1
,
2801,1
,
2780,1
,
2764,1
,
2755,1
,
2734,1
,
2735,1
,
2728,1
,
2628,1
,
2666,1
,
2701,1
,
2751,1
,
4089,1
,
4090,1
,
2907,1
,
4090,1
,
2056,4
,
1965,5
,
3596,5
,
3494,5
,
3513,5
,
3471,5
,
3367,5
,
3263,5
,
3193,5
,
3132,5
,
3072,5
,
2064,4
,
3224,4
,
3036,4
,
2787,4
,
2061,4
,
2052,4
,
2492,4
,
2412,4
,
2364,4
,
2350,4
,
1983,3
,
1999,3
,
2021,3
,
2228,3
,
2480,3
,
2505,3
,
2466,3
,
2392,3
,
2319,3
,
2260,3
,
2220,3
,
2213,3
,
1983,2
,
2001,2
,
2009,2
,
2000,2
,
2002,2
,
2002,2
,
2006,2
,
2004,2
,
1998,2
,
2000,2
,
2003,2
,
1574,1
,
1985,1
,
1984,1
,
3095,1
,
3962,1
,
4067,1
,
4086,1
,
4089,1
,
4088,1
,
4090,1
,
4089,1
,
4089,1
,
4087,1
,
4084,1
,
4069,1
,
3856,1
,
3624,1
,
3469,1
,
3379,1
,
3344,1
,
3330,1
,
3312,1
,
3275,1
,
3236,1
,
3187,1
,
3172,1
,
3180,1
,
2667,1
,
4088,1
,
4090,1
,
4090,1
,
4090,1
,
1852,4
,
1972,5
,
2955,5
,
2896,5
,
2818,5
,
2749,5
,
2509,5
,
3300,4
,
3005,4
,
2780,4
,
2520,4
,
2820,4
,
2788,4
,
2560,4
,
2392,4
,
2338,4
,
2359,4
,
1944,3
,
2308,3
,
2591,3
,
2690,3
,
2672,3
,
2572,3
,
2466,3
,
2372,3
,
2288,3
,
2223,3
,
2176,3
,
2170,3
,
2102,2
,
2333,2
,
2500,2
,
2550,2
,
2527,2
,
2484,2
,
2441,2
,
2401,2
,
2377,2
,
2376,2
,
2398,2
,
2842,1
,
2473,1
,
2450,1
,
2385,1
,
2292,1
,
2189,1
,
2092,1
,
2020,1
,
1964,1
,
1928,1
,
1922,1
,
1936,1
,
1968,1
,
2020,1
,
2087,1
,
2168,1
,
2055,1
,
1890,1
,
1889,1
,
1988,1
,
2028,1
,
2008,1
,
1959,1
,
3492,1
,
4002,1
,
4089,1
,
4089,1
,
4089,1
,
4090,1
,
1914,4
,
1980,5
,
3113,5
,
3044,5
,
2961,5
,
2888,5
,
2836,5
,
2165,4
,
3037,4
,
2794,4
,
2528,4
,
2501,4
,
2373,4
,
2273,4
,
2209,4
,
2146,4
,
2142,4
,
2042,3
,
2142,3
,
2467,3
,
2568,3
,
2547,3
,
2463,3
,
2363,3
,
2268,3
,
2173,3
,
2100,3
,
2054,3
,
2053,3
,
1920,2
,
2356,2
,
2660,2
,
2812,2
,
2827,2
,
2770,2
,
2732,2
,
2689,2
,
2651,2
,
2608,2
,
2620,2
,
2047,1
,
4089,1
,
4089,1
,
4089,1
,
4089,1
,
4088,1
,
4090,1
,
4077,1
,
3694,1
,
3308,1
,
3221,1
,
3183,1
,
3136,1
,
3067,1
,
3026,1
,
3027,1
,
3034,1
,
3013,1
,
2977,1
,
2946,1
,
2918,1
,
2904,1
,
2907,1
,
2909,1
,
2939,1
,
4089,1
,
4089,1
,
4089,1
,
2870,1
,
4089,1
,
1847,4
,
1992,5
,
2282,5
,
1785,5
,
1857,5
,
2026,5
,
2871,4
,
3197,4
,
2804,4
,
2545,4
,
2586,4
,
2496,4
,
2406,4
,
2326,4
,
2282,4
,
1976,3
,
2342,3
,
2480,3
,
