=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.01.23 19:18:29 =~=~=~=~=~=~=~=~=~=~=~=
vSense, Hall State
0, 0
0, 0
1002, 0
4009, 0
4084, 0
4085, 0
4085, 0
4084, 0
4074, 0
4063, 0
3103, 0
3098, 0
3121, 0
3103, 0
3121, 0
3102, 0
3103, 0
3130, 0
3111, 0
3142, 0
3133, 0
3140, 0
3145, 0
3150, 0
3130, 0
3060, 0
3152, 0
3141, 0
3111, 0
3087, 0
2762, 0
1780, 0
1712, 0
1960, 0
2046, 0
2018, 0
1956, 0
2383, 0
3868, 0
4053, 0
4085, 0
4088, 0
4089, 0
4089, 0
4088, 0
4088, 0
4088, 0
4088, 0
4088, 0
4087, 0
4087, 0
4087, 0
4086, 0
4086, 0
4084, 0
4083, 0
4081, 0
4083, 0
4079, 0
4065, 0
3115, 0
3096, 0
3099, 0
3113, 0
3116, 0
3074, 0
3122, 0
3123, 0
3115, 0
3108, 0
3126, 0
3121, 0
3115, 0
3124, 0
3188, 0
3140, 0
3169, 0
3157, 0
3093, 0
3094, 0
3096, 0
1748, 0
1730, 0
1972, 0
2046, 0
2012, 0
1960, 0
2750, 0
3937, 0
4061, 0
4086, 0
4088, 0
4088, 0
4089, 0
4088, 0
4086, 0
4087, 0
4088, 0
4086, 0
4086, 0
4087, 0
4086, 0
4086, 0
4086, 0
4086, 0
4082, 0
4083, 0
4081, 0
4075, 0
4059, 0
3847, 0
3099, 0
3091, 0
3103, 0
3112, 0
3106, 0
3112, 0
3112, 0
3116, 0
3106, 0
3126, 0
3121, 0
3119, 0
3150, 0
3151, 0
3169, 0
3145, 0
3108, 0
3099, 0
3084, 0
3006, 0
1710, 0
1764, 0
2002, 0
2044, 0
2004, 0
1944, 0
2951, 0
3966, 0
4066, 0
4087, 0
4089, 0
4087, 0
4090, 0
4087, 0
4087, 0
4088, 0
4090, 0
4087, 0
4087, 0
4086, 0
4086, 0
4084, 0
4086, 0
4082, 0
4084, 0
4082, 0
4084, 0
4073, 0
4034, 0
3101, 0
3091, 0
3097, 0
3097, 0
3111, 0
3099, 0
3108, 0
3100, 0
3119, 0
3111, 0
3115, 0
3110, 0
3123, 0
3148, 0
3154, 0
3124, 0
3144, 0
3099, 0
3081, 0
3083, 0
2940, 0
1684, 0
1786, 0
2006, 0
2044, 0
1998, 0
1952, 0
3278, 0
3987, 0
4072, 0
4087, 0
4090, 0
4087, 0
4090, 0
4087, 0
4088, 0
4086, 0
4088, 0
4088, 0
4087, 0
4086, 0
4086, 0
4084, 0
4086, 0
4084, 0
4084, 0
4085, 0
4082, 0
4073, 0
3999, 0
3097, 0
3083, 0
3093, 0
3091, 0
