=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.01.24 17:53:36 =~=~=~=~=~=~=~=~=~=~=~=
vSense, Hall State
0, 0
0, 0
898, 0
2276, 0
2737, 0
3014, 0
3183, 0
3282, 0
3348, 0
3386, 0
3412, 0
3422, 0
3431, 0
3433, 0
3434, 0
3437, 0
3431, 0
3436, 0
3428, 0
3428, 0
3425, 0
3426, 0
3424, 0
3417, 0
3411, 0
3415, 0
3415, 0
3408, 0
3402, 0
3407, 0
2734, 0
1667, 0
1664, 0
1975, 0
3228, 0
3903, 0
3823, 0
3517, 0
3465, 0
3538, 0
3571, 0
3540, 0
3505, 0
3498, 0
3503, 0
3506, 0
3501, 0
3497, 0
3480, 0
3476, 0
3479, 0
3478, 0
3476, 0
3467, 0
3464, 0
3466, 0
3460, 0
3456, 0
3453, 0
3453, 0
3446, 0
3439, 0
3438, 0
3429, 0
3428, 0
3427, 0
3424, 0
3424, 0
3424, 0
3419, 0
3413, 0
3410, 0
3400, 0
3409, 0
3409, 0
3407, 0
3395, 0
3401, 0
3397, 0
3404, 0
2807, 0
1647, 0
1700, 0
1995, 0
3413, 0
3902, 0
3753, 0
3495, 0
3464, 0
3536, 0
3561, 0
3535, 0
3494, 0
3480, 0
3493, 0
3497, 0
3486, 0
3483, 0
3479, 0
3473, 0
3472, 0
3463, 0
3459, 0
3456, 0
3448, 0
3451, 0
3447, 0
3441, 0
3439, 0
3441, 0
3431, 0
3430, 0
3427, 0
3418, 0
3415, 0
3414, 0
3411, 0
3408, 0
3401, 0
3402, 0
3400, 0
3401, 0
3400, 0
3394, 0
3394, 0
3391, 0
3377, 0
3385, 0
3381, 0
3380, 0
2514, 0
1612, 0
1760, 0
2014, 0
3521, 0
3906, 0
3682, 0
3453, 0
3458, 0
3532, 0
3542, 0
3515, 0
3483, 0
3474, 0
3478, 0
3485, 0
3479, 0
3465, 0
3457, 0
3457, 0
3448, 0
3445, 0
3446, 0
3443, 0
3437, 0
3439, 0
3436, 0
3433, 0
3434, 0
3428, 0
3416, 0
3415, 0
3415, 0
3415, 0
3407, 0
3408, 0
3400, 0
3397, 0
3394, 0
3394, 0
3393, 0
3396, 0
3386, 0
3384, 0
3378, 0
3377, 0
3374, 0
3379, 0
3371, 0
3381, 0
2367, 0
1599, 0
1810, 0
2047, 0
3612, 0
3890, 0
3635, 0
3438, 0
3455, 0
3523, 0
3533, 0
3495, 0
3462, 0
3465, 0
3474, 0
3472, 0
3463, 0
3454, 0
3441, 0
3450, 0
3440, 0
3437, 0
3432, 0
3434, 0
3422, 0
3424, 0
3423, 0
3418, 0
3410, 0
3415, 0
3409, 0
3400, 0
3405, 0
3402, 0
